"TAXONOMIC.ORDER","SCIENTIFIC.NAME","COMMON.NAME","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","COUNT","STATUS"
6916,"Puffinus persicus","Persian Shearwater",0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,3,"Sporadic"
6936,"Anastomus oscitans","Asian Openbill",19,24,25,12,37,37,16,23,17,37,45,80,508,990,1227,1807,1950,2138,2231,2292,20,"Regular"
6940,"Ciconia nigra","Black Stork",0,0,0,0,0,1,1,0,0,0,2,0,1,1,9,6,8,12,2,5,11,"Recent"
6942,"Ciconia episcopus","Woolly-necked Stork",4,11,9,4,20,18,7,11,8,16,39,46,175,323,474,774,929,1301,971,1177,20,"Regular"
6949,"Ciconia ciconia","White Stork",0,0,0,0,0,1,0,0,1,0,1,7,13,17,35,29,47,54,6,13,12,"Recent"
6959,"Leptoptilos javanicus","Lesser Adjutant",0,0,0,0,2,0,0,0,0,1,0,1,0,1,1,2,3,2,0,1,9,"Sporadic"
6966,"Mycteria leucocephala","Painted Stork",2,2,2,1,2,4,1,10,1,9,18,33,227,232,307,686,574,635,549,455,20,"Regular"
6970,"Fregata ariel","Lesser Frigatebird",0,0,0,0,0,0,1,1,0,1,0,1,0,3,0,3,0,0,2,0,7,"Sporadic"
6979,"Fregata andrewsi","Christmas Island Frigatebird",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,2,"Sporadic"
6980,"Fregata minor","Great Frigatebird",0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,1,0,1,0,0,6,"Sporadic"
6987,"Sula dactylatra","Masked Booby",0,0,0,0,0,0,0,0,3,1,3,0,3,4,0,1,0,0,18,15,8,"Sporadic"
7005,"Sula sula","Red-footed Booby",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,3,"Sporadic"
7021,"Anhinga melanogaster","Oriental Darter",18,38,43,19,63,49,53,45,52,38,79,145,986,1739,1893,2769,3210,3114,2727,2670,20,"Regular"
7031,"Microcarbo niger","Little Cormorant",44,52,53,51,145,125,84,74,96,121,143,226,1948,4292,4715,6102,6991,7649,8173,7696,20,"Regular"
7042,"Phalacrocorax carbo","Great Cormorant",6,11,6,3,22,16,16,14,11,18,25,24,83,147,212,167,172,256,296,219,20,"Regular"
7058,"Phalacrocorax fuscicollis","Indian Cormorant",24,23,25,16,34,28,23,28,26,35,54,87,544,985,989,1369,1569,2114,1976,1814,20,"Regular"
7116,"Pelecanus philippensis","Spot-billed Pelican",1,0,0,1,3,0,0,0,0,0,1,4,75,47,33,215,153,175,127,170,13,"Recent"
7128,"Botaurus stellaris","Great Bittern",0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,0,1,0,0,5,"Sporadic"
7133,"Ixobrychus sinensis","Yellow Bittern",8,6,5,3,3,6,5,6,1,5,10,16,77,132,176,336,202,249,231,228,20,"Regular"
7141,"Ixobrychus cinnamomeus","Cinnamon Bittern",10,3,7,4,5,6,3,6,2,3,6,20,37,67,115,144,70,114,212,176,20,"Regular"
7145,"Ixobrychus flavicollis","Black Bittern",10,7,6,3,8,10,6,4,2,8,3,20,58,105,124,121,64,162,139,150,20,"Regular"
7176,"Ardea cinerea","Gray Heron",20,23,21,12,51,45,14,23,21,24,60,77,591,995,1402,1992,1836,2012,1699,1856,20,"Regular"
7193,"Ardea purpurea","Purple Heron",34,30,37,24,58,63,27,47,36,51,87,116,1066,2200,2695,3081,3671,3967,4244,4278,20,"Regular"
7200,"Ardea alba","Great Egret",25,26,30,23,60,63,24,33,36,48,90,122,708,1570,1802,2256,2670,3326,3362,3437,20,"Regular"
7207,"Ardea intermedia","Intermediate Egret",38,37,34,22,93,82,52,45,53,68,87,145,1189,2279,2532,3042,3823,4377,4596,4161,20,"Regular"
7217,"Egretta garzetta","Little Egret",45,53,37,30,100,100,77,70,61,87,125,187,1468,2915,3838,4516,5773,5940,5807,5072,20,"Regular"
7221,"Egretta gularis","Western Reef-Heron",4,4,6,5,17,21,9,10,22,15,18,35,160,307,301,434,694,698,343,403,20,"Regular"
7247,"Bubulcus ibis","Cattle Egret",37,55,38,44,122,106,69,75,77,85,100,172,1618,2975,5050,7566,9010,8883,8908,9222,20,"Regular"
7253,"Ardeola grayii","Indian Pond-Heron",46,79,55,41,158,138,136,103,110,155,172,270,2656,6055,8438,9573,12370,12434,13169,11778,20,"Regular"
7254,"Ardeola bacchus","Chinese Pond-Heron",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,1,"Sporadic"
7267,"Butorides striata","Striated Heron",5,4,3,2,26,22,16,10,15,12,17,21,97,176,204,251,304,336,246,304,20,"Regular"
7305,"Nycticorax nycticorax","Black-crowned Night-Heron",13,12,12,4,23,14,13,12,20,15,21,52,254,384,682,1000,1502,1628,1785,1650,20,"Regular"
7332,"Gorsachius melanolophus","Malayan Night-Heron",0,0,0,0,1,4,0,2,1,4,1,3,0,4,2,7,4,6,2,2,14,"Recent"
7346,"Plegadis falcinellus","Glossy Ibis",5,4,8,3,4,2,2,8,4,6,18,48,304,423,484,938,821,749,704,803,20,"Regular"
7374,"Threskiornis melanocephalus","Black-headed Ibis",16,15,25,10,26,28,14,16,24,29,54,85,692,1583,2073,2757,3101,4112,4290,4123,20,"Regular"
7379,"Pseudibis papillosa","Red-naped Ibis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,2,4,6,"Sporadic"
7398,"Platalea leucorodia","Eurasian Spoonbill",0,0,1,0,6,0,0,0,2,2,7,5,84,68,128,300,146,138,93,62,14,"Recent"
7429,"Pandion haliaetus","Osprey",2,6,7,6,17,12,17,9,12,11,21,25,81,163,194,282,323,330,304,304,20,"Regular"
7438,"Elanus caeruleus","Black-winged Kite",5,6,4,1,11,8,18,12,7,11,21,24,30,67,130,209,160,297,99,256,20,"Regular"
7459,"Neophron percnopterus","Egyptian Vulture",0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,1,22,0,7,"Sporadic"
7476,"Pernis ptilorhynchus","Oriental Honey-buzzard",3,12,5,2,31,22,63,42,54,76,45,64,139,263,415,573,708,959,1347,1238,20,"Regular"
7498,"Aviceda jerdoni","Jerdon's Baza",0,1,0,0,0,0,1,1,1,0,0,0,0,1,2,4,0,0,4,6,9,"Sporadic"
7518,"Aviceda leuphotes","Black Baza",3,2,3,0,4,11,15,13,18,15,15,28,52,66,90,79,128,146,112,131,19,"Recent"
7523,"Sarcogyps calvus","Red-headed Vulture",0,0,0,0,1,1,0,0,3,0,0,1,6,10,13,32,3,6,5,9,12,"Recent"
7532,"Gyps bengalensis","White-rumped Vulture",0,1,0,1,0,1,1,0,6,0,0,1,13,13,21,41,8,8,11,9,14,"Recent"
7533,"Gyps indicus","Indian Vulture",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,1,5,"Sporadic"
7539,"Gyps himalayensis","Himalayan Griffon",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,3,"Sporadic"
7540,"Gyps fulvus","Eurasian Griffon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,"Sporadic"
7554,"Spilornis cheela","Crested Serpent-Eagle",6,35,8,3,64,41,118,55,80,116,50,86,320,609,932,1536,1628,1948,2297,2333,20,"Regular"
7584,"Circaetus gallicus","Short-toed Snake-Eagle",0,2,1,0,0,0,1,2,2,2,3,0,10,8,10,7,7,17,6,10,15,"Recent"
7601,"Nisaetus cirrhatus","Changeable Hawk-Eagle",6,13,5,0,12,9,14,18,19,24,20,28,82,129,231,428,546,737,790,821,19,"Recent"
7613,"Nisaetus kelaarti","Legge's Hawk-Eagle",1,2,1,0,2,2,3,4,2,6,6,9,8,29,10,26,21,26,34,28,19,"Recent"
7624,"Lophotriorchis kienerii","Rufous-bellied Eagle",3,10,2,0,9,8,13,9,11,16,12,9,23,59,48,59,82,103,92,104,19,"Recent"
7637,"Ictinaetus malaiensis","Black Eagle",1,18,4,0,42,25,55,28,47,53,36,36,96,184,262,369,369,479,412,539,19,"Recent"
7641,"Clanga hastata","Indian Spotted Eagle",0,0,0,0,1,1,0,1,1,2,6,9,14,15,17,31,16,8,26,9,15,"Recent"
7642,"Clanga clanga","Greater Spotted Eagle",0,1,0,2,2,1,2,3,3,6,8,7,24,29,48,118,171,136,162,135,18,"Recent"
7647,"Hieraaetus pennatus","Booted Eagle",0,7,4,2,8,10,23,20,25,32,28,17,70,95,162,315,378,409,695,644,19,"Recent"
7655,"Aquila nipalensis","Steppe Eagle",0,3,0,0,1,2,1,1,1,3,0,1,6,0,0,10,6,2,1,2,14,"Recent"
7660,"Aquila heliaca","Imperial Eagle",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Sporadic"
7674,"Aquila fasciata","Bonelli's Eagle",2,2,2,0,4,4,3,5,5,4,7,3,10,23,11,15,29,74,49,54,19,"Recent"
7713,"Butastur teesa","White-eyed Buzzard",0,0,0,0,1,1,3,3,1,2,0,1,3,1,11,27,31,19,21,23,15,"Recent"
7716,"Circus aeruginosus","Eurasian Marsh-Harrier",17,28,18,10,32,34,16,26,21,32,33,40,165,359,346,675,953,773,675,615,20,"Regular"
7720,"Circus spilonotus","Eastern Marsh-Harrier",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Sporadic"
7734,"Circus macrourus","Pallid Harrier",0,1,1,0,5,3,4,4,8,5,14,4,5,4,28,14,16,30,12,9,18,"Recent"
7736,"Circus melanoleucos","Pied Harrier",0,1,0,0,0,1,1,1,0,0,0,0,2,0,0,2,7,27,3,4,10,"Recent"
7737,"Circus pygargus","Montagu's Harrier",0,2,0,0,5,2,0,1,0,1,1,0,1,2,16,17,10,10,5,5,14,"Recent"
7742,"Accipiter trivirgatus","Crested Goshawk",1,4,7,2,11,15,26,28,27,38,35,32,41,121,168,205,211,216,330,299,20,"Regular"
7769,"Accipiter badius","Shikra",6,5,4,30,47,32,50,36,35,56,46,45,403,853,1572,2209,2627,2604,3503,3010,20,"Regular"
7856,"Accipiter virgatus","Besra",1,10,1,0,12,9,10,6,11,9,5,4,2,15,11,14,8,31,14,31,19,"Recent"
7885,"Accipiter nisus","Eurasian Sparrowhawk",0,2,0,1,0,0,0,2,0,0,1,1,2,1,4,3,4,6,13,6,13,"Recent"
7948,"Milvus migrans","Black Kite",5,14,8,50,80,84,69,51,35,53,64,72,885,2538,3348,4504,6907,7358,10415,7075,20,"Regular"
7961,"Haliastur indus","Brahminy Kite",20,51,34,46,156,90,67,76,74,133,131,203,1814,5308,8230,9679,14390,13600,18241,15014,20,"Regular"
7974,"Haliaeetus leucogaster","White-bellied Sea-Eagle",0,1,0,1,7,11,0,2,2,13,5,1,9,49,59,91,121,190,338,414,17,"Recent"
7978,"Haliaeetus humilis","Lesser Fish-Eagle",1,1,1,0,11,1,19,5,5,7,5,6,22,35,37,37,27,93,18,33,19,"Recent"
7981,"Haliaeetus ichthyaetus","Gray-headed Fish-Eagle",0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,1,2,6,"Sporadic"
8123,"Buteo buteo","Common Buzzard",1,2,0,0,4,3,2,13,10,10,25,7,7,14,14,17,21,39,37,33,18,"Recent"
8193,"Tyto alba","Barn Owl",1,0,0,0,2,2,0,2,2,4,3,6,45,76,56,117,284,327,463,221,16,"Recent"
8234,"Phodilus assimilis","Sri Lanka Bay-Owl",2,0,0,0,1,2,0,4,1,2,6,7,13,16,13,17,40,53,43,26,16,"Recent"
8263,"Otus bakkamoena","Indian Scops-Owl",2,3,1,1,18,5,15,12,13,9,13,21,62,124,159,183,195,432,647,606,20,"Regular"
8339,"Otus brucei","Pallid Scops-Owl",0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,2,0,5,"Sporadic"
8350,"Otus sunia","Oriental Scops-Owl",0,1,3,0,13,6,16,10,8,6,8,15,25,30,44,63,40,145,57,66,18,"Recent"
8527,"Bubo nipalensis","Spot-bellied Eagle-Owl",1,1,0,1,3,1,5,4,4,4,3,6,9,15,20,35,34,53,38,66,19,"Recent"
8549,"Ketupa zeylonensis","Brown Fish-Owl",2,4,0,1,9,5,15,12,8,13,18,15,44,79,127,182,187,259,243,229,19,"Recent"
8638,"Glaucidium radiatum","Jungle Owlet",4,15,8,22,75,47,77,63,55,60,35,72,420,924,1253,1879,2473,3550,4021,2972,20,"Regular"
8665,"Athene brama","Spotted Owlet",0,0,0,1,1,2,1,4,2,4,7,6,81,150,138,175,218,307,469,362,17,"Recent"
8733,"Strix ocellata","Mottled Wood-Owl",1,2,3,0,7,4,3,9,5,8,11,8,40,79,77,219,382,289,433,387,19,"Recent"
8737,"Strix leptogrammica","Brown Wood-Owl",0,0,2,0,0,2,0,0,1,3,2,0,3,11,12,63,57,66,103,71,13,"Recent"
8829,"Asio flammeus","Short-eared Owl",0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,4,"Sporadic"
8903,"Ninox scutulata","Brown Boobook",2,9,3,0,19,12,21,13,17,20,15,31,61,73,114,202,193,445,487,439,19,"Recent"
9119,"Harpactes fasciatus","Malabar Trogon",2,17,10,3,58,39,86,61,68,104,63,82,147,248,329,503,444,611,515,475,20,"Regular"
9161,"Upupa epops","Eurasian Hoopoe",3,2,0,1,4,3,9,5,1,11,10,13,47,66,138,205,194,222,329,315,19,"Recent"
9273,"Buceros bicornis","Great Hornbill",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Sporadic"
9278,"Ocyceros birostris","Indian Gray Hornbill",0,0,0,1,2,1,1,8,5,4,6,3,165,304,435,747,518,519,911,777,17,"Recent"
9279,"Ocyceros griseus","Malabar Gray Hornbill",6,52,27,8,102,66,190,100,129,167,104,129,373,674,789,1501,1449,1808,1573,1390,20,"Regular"
9284,"Anthracoceros coronatus","Malabar Pied-Hornbill",0,3,3,0,4,1,12,3,7,6,7,5,33,71,50,36,39,52,41,50,18,"Recent"
9389,"Alcedo atthis","Common Kingfisher",4,27,22,15,87,75,46,48,55,78,96,135,1074,1963,2045,2631,2630,3380,3380,3790,20,"Regular"
9406,"Alcedo meninting","Blue-eared Kingfisher",1,0,0,0,2,2,1,0,1,0,0,1,2,4,11,12,10,12,26,29,14,"Recent"
9448,"Ceyx erithaca","Black-backed Dwarf-Kingfisher",0,0,0,0,1,2,1,1,3,1,4,4,4,6,13,15,41,42,26,27,16,"Recent"
9524,"Pelargopsis capensis","Stork-billed Kingfisher",5,13,15,10,68,53,63,45,47,69,58,73,639,1441,1627,2003,2309,2901,2929,3119,20,"Regular"
9558,"Halcyon smyrnensis","White-throated Kingfisher",13,53,33,68,198,154,175,136,114,164,161,209,2353,5645,8318,10430,12004,12900,17160,14134,20,"Regular"
9571,"Halcyon pileata","Black-capped Kingfisher",3,2,2,2,6,4,6,3,11,11,5,2,22,56,44,64,61,52,49,70,20,"Regular"
9783,"Ceryle rudis","Pied Kingfisher",9,20,11,8,49,42,15,18,21,38,49,53,315,698,746,854,860,995,995,978,20,"Regular"
9802,"Nyctyornis athertoni","Blue-bearded Bee-eater",0,3,1,0,12,4,5,10,5,10,7,8,44,43,74,116,113,140,122,147,18,"Recent"
9838,"Merops orientalis","Green Bee-eater",3,16,8,11,26,28,29,40,29,64,64,88,988,2172,2917,3879,4203,4787,6614,6378,20,"Regular"
9851,"Merops viridis","Blue-throated Bee-eater",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,"Sporadic"
9853,"Merops persicus","Blue-cheeked Bee-eater",0,0,0,0,0,0,0,0,0,0,1,0,90,163,92,169,84,59,31,18,9,"Recent"
9859,"Merops philippinus","Blue-tailed Bee-eater",4,16,6,11,31,20,34,36,36,53,67,103,732,2076,2285,3250,4525,4792,6136,5981,20,"Regular"
9862,"Merops apiaster","European Bee-eater",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Sporadic"
9863,"Merops leschenaulti","Chestnut-headed Bee-eater",5,25,7,4,49,35,83,64,55,83,56,85,302,529,663,1083,1049,1131,1330,1382,20,"Regular"
9871,"Coracias garrulus","European Roller",3,0,0,0,0,0,0,0,0,0,5,1,3,5,0,7,11,2,21,21,10,"Recent"
9882,"Coracias benghalensis","Indian Roller",4,12,6,2,13,8,11,18,15,25,20,39,231,487,642,765,713,1069,1174,1014,20,"Regular"
9901,"Eurystomus orientalis","Dollarbird",1,11,7,1,13,6,31,25,13,26,16,36,72,124,119,162,148,205,150,120,20,"Regular"
10220,"Psilopogon malabaricus","Malabar Barbet",5,53,9,4,66,35,139,81,63,87,48,79,167,291,401,650,705,983,868,750,20,"Regular"
10222,"Psilopogon haemacephalus","Coppersmith Barbet",6,7,3,9,41,9,47,32,13,38,50,36,320,691,726,1285,1485,1644,1806,1628,20,"Regular"
10273,"Psilopogon zeylanicus","Brown-headed Barbet",2,0,0,0,3,1,4,8,0,7,32,8,7,27,33,33,52,46,57,90,16,"Recent"
10278,"Psilopogon viridis","White-cheeked Barbet",13,90,26,60,213,155,340,212,246,234,200,223,1963,5938,9300,13733,17932,18849,23812,18436,20,"Regular"
10519,"Jynx torquilla","Eurasian Wryneck",0,0,0,0,1,1,2,1,1,1,0,0,1,1,10,1,3,8,37,9,14,"Recent"
10528,"Picumnus innominatus","Speckled Piculet",0,4,0,0,6,10,6,5,6,11,2,5,4,20,21,28,32,30,36,45,17,"Recent"
10632,"Hemicircus canente","Heart-spotted Woodpecker",2,24,14,4,53,31,68,58,68,88,38,59,154,240,309,411,426,526,508,480,20,"Regular"
10736,"Yungipicus nanus","Brown-capped Pygmy Woodpecker",6,12,9,1,33,15,53,53,35,46,32,55,142,277,382,464,598,704,956,861,20,"Regular"
10761,"Leiopicus mahrattensis","Yellow-crowned Woodpecker",3,1,0,0,4,3,2,3,5,5,7,10,10,29,46,66,48,39,56,69,18,"Recent"
11011,"Chrysocolaptes guttacristatus","Greater Flameback",5,28,12,4,74,37,95,54,75,68,60,77,214,418,555,977,1112,1301,1352,1464,20,"Regular"
11028,"Chrysocolaptes festivus","White-naped Woodpecker",0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,2,0,6,2,5,8,"Sporadic"
11058,"Micropternus brachyurus","Rufous Woodpecker",3,7,2,1,22,7,18,19,16,28,21,19,140,188,374,500,833,765,979,1127,20,"Regular"
11090,"Dinopium javanense","Common Flameback",3,34,3,0,45,24,48,30,24,25,17,14,39,22,22,37,52,69,36,23,19,"Recent"
11099,"Dinopium benghalense","Black-rumped Flameback",13,29,13,51,128,86,149,87,106,107,68,118,978,2527,4434,5766,6561,7493,10921,8436,20,"Regular"
11109,"Picus chlorolophus","Lesser Yellownape",2,12,2,1,23,12,35,36,29,48,19,41,88,150,217,427,430,401,545,587,20,"Regular"
11123,"Picus xanthopygaeus","Streak-throated Woodpecker",3,5,5,0,9,3,16,8,17,7,11,9,81,117,106,152,147,171,174,155,19,"Recent"
11242,"Dryocopus javensis","White-bellied Woodpecker",3,16,6,2,23,19,19,19,15,19,13,21,35,67,84,145,106,189,126,106,20,"Regular"
11462,"Falco naumanni","Lesser Kestrel",0,1,1,0,0,0,2,1,0,0,0,0,1,3,1,7,1,3,1,0,11,"Sporadic"
11463,"Falco tinnunculus","Eurasian Kestrel",4,18,2,1,15,11,20,23,20,24,45,31,44,62,186,187,145,163,120,170,20,"Regular"
11518,"Falco chicquera","Red-necked Falcon",0,0,0,0,0,0,0,0,2,0,0,0,1,1,8,11,5,0,1,2,8,"Sporadic"
11524,"Falco amurensis","Amur Falcon",0,0,0,0,0,0,0,1,1,0,0,0,5,12,76,41,18,11,38,12,10,"Recent"
11539,"Falco subbuteo","Eurasian Hobby",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,4,4,"Sporadic"
11544,"Falco severus","Oriental Hobby",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Sporadic"
11575,"Falco peregrinus","Peregrine Falcon",2,3,1,0,8,2,3,6,6,5,12,8,12,21,41,91,67,213,232,149,19,"Recent"
11800,"Psittacula eupatria","Alexandrine Parakeet",0,0,0,1,0,0,0,0,2,0,0,0,0,1,2,0,2,0,0,2,6,"Sporadic"
11807,"Psittacula krameri","Rose-ringed Parakeet",4,13,2,50,75,64,85,48,34,42,36,52,1076,2387,3361,4798,5880,6651,8544,6745,20,"Regular"
11818,"Psittacula cyanocephala","Plum-headed Parakeet",4,34,13,5,82,31,112,76,83,122,58,108,399,734,1162,1944,1897,2254,3317,2911,20,"Regular"
11823,"Psittacula columboides","Malabar Parakeet",10,72,19,6,115,48,164,90,104,154,121,155,362,619,853,1314,1196,1746,1291,1096,20,"Regular"
12150,"Loriculus vernalis","Vernal Hanging-Parrot",9,57,13,5,98,70,185,119,160,163,84,130,469,995,1783,2873,3161,3716,4063,3730,20,"Regular"
12798,"Pitta brachyura","Indian Pitta",2,4,12,0,17,12,21,27,18,35,21,29,132,161,277,445,438,428,736,693,19,"Recent"
17865,"Pericrocotus cinnamomeus","Small Minivet",7,18,8,2,40,13,59,34,34,46,49,49,163,301,401,597,585,654,742,710,20,"Regular"
17900,"Pericrocotus flammeus","Orange Minivet",9,61,17,7,114,60,165,115,134,155,138,159,408,821,1370,2066,1538,2067,2186,2138,20,"Regular"
17926,"Pericrocotus divaricatus","Ashy Minivet",0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,"Sporadic"
18007,"Coracina macei","Large Cuckooshrike",1,7,1,1,22,6,20,34,12,23,18,17,108,160,275,385,494,423,611,612,20,"Regular"
18132,"Lalage melanoptera","Black-headed Cuckooshrike",3,6,2,0,11,8,12,34,15,20,22,22,112,164,257,360,408,358,591,732,19,"Recent"
18872,"Oriolus kundoo","Indian Golden Oriole",7,50,18,14,92,61,148,98,127,138,83,100,645,1281,1688,2860,3899,3664,4060,4011,20,"Regular"
18878,"Oriolus chinensis","Black-naped Oriole",3,5,3,0,19,21,59,42,39,45,25,33,113,128,212,341,367,393,360,341,19,"Recent"
18926,"Oriolus xanthornus","Black-hooded Oriole",5,18,13,20,63,23,76,77,51,102,67,86,1079,2637,3579,5046,5561,6050,8332,7379,20,"Regular"
18970,"Artamus fuscus","Ashy Woodswallow",10,16,9,4,27,25,50,34,44,47,61,74,660,1572,1654,2058,2141,2759,2939,3084,20,"Regular"
19169,"Tephrodornis sylvicola","Malabar Woodshrike",4,25,5,2,55,26,84,64,65,86,30,68,163,237,319,427,420,607,491,426,20,"Regular"
19181,"Tephrodornis pondicerianus","Common Woodshrike",2,4,4,0,13,6,24,42,4,13,22,18,69,145,246,338,393,421,554,545,19,"Recent"
19188,"Hemipus picatus","Bar-winged Flycatcher-shrike",5,15,6,0,21,13,55,40,23,32,31,28,37,90,131,203,177,229,215,293,19,"Recent"
19242,"Aegithina tiphia","Common Iora",7,34,11,4,68,33,117,105,88,114,70,73,389,971,1764,2266,2248,2467,4526,4344,20,"Regular"
19516,"Rhipidura albogularis","Spot-breasted Fantail",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,3,"Sporadic"
19523,"Rhipidura aureola","White-browed Fantail",0,0,2,1,1,1,5,4,1,2,17,2,15,46,67,101,78,76,67,79,18,"Recent"
19657,"Dicrurus macrocercus","Black Drongo",11,22,10,24,58,38,52,65,41,74,105,116,2311,5500,7086,8670,10545,10616,12493,10863,20,"Regular"
19665,"Dicrurus leucophaeus","Ashy Drongo",7,61,19,0,82,49,139,98,146,137,84,124,327,507,677,1297,1535,1666,1950,1941,19,"Recent"
19685,"Dicrurus caerulescens","White-bellied Drongo",3,3,0,0,7,3,4,7,10,16,38,14,27,67,106,126,114,150,142,142,18,"Recent"
19691,"Dicrurus aeneus","Bronzed Drongo",4,34,16,7,111,38,147,101,103,135,63,99,491,1059,1737,2662,2866,3161,4328,4378,20,"Regular"
19700,"Dicrurus hottentottus","Hair-crested Drongo",1,2,2,0,2,3,6,1,3,8,0,3,8,18,16,23,43,40,13,40,18,"Recent"
19754,"Dicrurus paradiseus","Greater Racket-tailed Drongo",7,72,25,13,150,83,225,132,210,218,138,196,1242,2850,4282,6641,6944,7999,9935,8712,20,"Regular"
19899,"Hypothymis azurea","Black-naped Monarch",5,18,11,3,56,22,69,54,80,78,44,36,140,244,449,728,737,722,1203,986,20,"Regular"
19959,"Terpsiphone paradisi","Indian Paradise-Flycatcher",8,32,15,1,72,52,124,99,105,111,76,83,449,747,1100,1590,2215,2240,2270,2371,20,"Regular"
20240,"Lanius isabellinus","Isabelline Shrike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"Sporadic"
20246,"Lanius cristatus","Brown Shrike",7,26,11,1,41,26,64,61,54,66,57,85,285,508,847,1199,1337,1579,1893,1914,20,"Regular"
20258,"Lanius vittatus","Bay-backed Shrike",3,1,2,0,1,0,5,2,0,8,13,8,21,33,91,85,81,67,159,124,17,"Recent"
20261,"Lanius schach","Long-tailed Shrike",2,11,2,0,12,8,7,21,15,14,31,33,72,184,219,285,309,502,411,537,19,"Recent"
20640,"Dendrocitta vagabunda","Rufous Treepie",9,20,15,56,115,89,150,113,102,133,116,157,1983,5086,6926,8985,9677,10489,14301,11262,20,"Regular"
20662,"Dendrocitta leucogastra","White-bellied Treepie",4,42,23,5,104,60,110,70,70,123,58,104,204,386,434,663,699,1146,649,480,20,"Regular"
20725,"Corvus splendens","House Crow",7,29,12,58,103,91,100,82,89,103,108,164,3430,10376,14736,17302,25325,22709,27126,21293,20,"Regular"
20792,"Corvus macrorhynchos","Large-billed Crow",12,46,14,55,140,104,185,124,128,128,149,183,1469,4896,7584,9635,12584,13307,17265,13457,20,"Regular"
20806,"Corvus macrorhynchos","Large-billed Crow",12,46,14,55,140,104,185,124,128,128,149,183,1469,4896,7584,9635,12584,13307,17265,13457,20,"Regular"
21121,"Culicicapa ceylonensis","Gray-headed Canary-Flycatcher",2,20,7,0,30,20,37,38,38,30,112,39,27,127,101,155,213,378,126,260,19,"Recent"
21385,"Parus cinereus","Cinereous Tit",6,22,9,1,43,11,46,46,48,42,48,60,192,363,544,638,540,762,730,770,20,"Regular"
21413,"Machlolophus aplonotus","Indian Yellow Tit",3,25,3,1,28,21,27,31,25,25,40,24,48,102,168,214,178,205,199,304,20,"Regular"
21557,"Ammomanes phoenicura","Rufous-tailed Lark",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,4,"Sporadic"
21597,"Eremopterix griseus","Ashy-crowned Sparrow-Lark",0,1,0,0,3,0,0,2,0,3,0,1,5,17,26,44,34,30,74,129,13,"Recent"
21742,"Mirafra affinis","Jerdon's Bushlark",0,1,0,0,2,4,3,7,0,13,9,17,72,223,305,359,339,466,713,759,16,"Recent"
21829,"Calandrella dukhunensis","Mongolian Short-toed Lark",1,0,0,0,0,1,0,0,1,3,3,0,6,11,36,65,87,72,125,106,13,"Recent"
21922,"Alauda gulgula","Oriental Skylark",1,0,0,0,3,1,2,6,0,12,13,12,48,106,166,170,163,247,385,360,16,"Recent"
21997,"Galerida malabarica","Malabar Lark",0,1,0,0,3,4,2,2,0,4,9,8,17,62,96,197,167,201,382,364,16,"Recent"
22317,"Orthotomus sutorius","Common Tailorbird",8,17,6,54,98,87,131,97,81,67,80,81,1112,3191,5492,7670,8705,10211,15689,12314,20,"Regular"
22399,"Prinia hodgsonii","Gray-breasted Prinia",3,12,4,2,18,12,26,24,22,31,23,21,101,238,635,1140,999,1290,2238,1700,20,"Regular"
